venueID,journalName,issn,url
6ecad00a-61fb-4abd-8ab9-96d31e1b8fb7,˜The œAfrican journal of respiratory medicine,1747-5597,https://www.africanjournalofrespiratorymedicine.com/
f151e41a-8da2-4030-aeab-229a2c46ffc7,NanoEthics,1871-4757,http://www.springer.com/social+sciences/applied+ethics/journal/11569
767b9acf-3e24-4be7-9367-435e91d9b3cd,Handbook of Econometrics,1573-4412,https://www.sciencedirect.com/handbook/handbook-of-econometrics/volumes
737a1fe5-4d06-487f-bcb0-2e17432fead6,Advances in Hydraulic Engineering,2616-2431,
f24df433-ed46-4589-9b7c-8b2789bc43a9,Acta et commentationes: Ştiinţe Exacte şi ale Naturii,2537-6284,
31995db2-47c5-43e1-b989-9f3a15ec7623,Journal of the Texas Association for Marriage and Family Therapy,1524-2331,https://www.tamft.org/
a54db6b8-a0b5-4e6b-b0b8-03f600063599,Journal of Advanced Sociology,2791-2507,
ae3fa0a2-21b1-46fb-b171-8bfd54e77fb1,Vision Research,0042-6989,http://www.elsevier.com/wps/find/journaldescription.cws_home/263/description#description
cac7ad43-dfbf-4134-852d-cfd0ed8a45a7,JOURNAL OF INTERNATIONAL EDUCATION AND DEVELOPMENT,2516-2500,
2dfb1d73-0a4b-4e14-ab9d-1fcf012093ff,Ahmad Dahlan Journal of English Studies,2356-5012,http://journal.uad.ac.id/index.php/ADJES
2efd1a22-6e19-4a3d-bb1a-93ae9b1caee5,Revista Ética e Filosofia Política,1414-3917,https://www.ufjf.br/eticaefilosofia/
0bb23618-5eec-48d3-9efe-e507c9bfa85f,Arab World English Journal,2229-9327,https://www.awej.org/
e90ca4d0-9171-4078-b343-75520cfcab4c,Journal of Chinese Linguistics Monograph Series,2409-2878,http://www.jstor.org/action/showPublication?journalCode=jchinlingmonoser
1e8e43f2-04a2-4045-9358-6a9a801265a6,Journal of Behavioral and Experimental Finance,2214-6350,https://www.journals.elsevier.com/journal-of-behavioral-and-experimental-finance/
6d5cb080-288d-4960-8ef3-6fce692e38e4,JURNAL RISET RUMPUN ILMU KESEHATAN,2828-9366,
16663648-fd5b-4b6b-8a0a-cf58b2d7fc0b,Institute of Art & Design Research,2465-7905,
9313fab0-ba66-4a46-b1c9-9c22e270e35d,Baptist Review and Expositor,0190-5856,https://journals.sagepub.com/loi/raeb
e5f4abef-fc22-4c06-a411-83c19019ce9c,Revista paca,2027-257X,https://journalusco.edu.co/index.php/paca
7ec5a4f9-d5b0-438b-add7-faaa19f48583,Viso,1981-4062,http://revistaviso.com.br/
f1d782d7-23f2-426b-9248-fc30238f07d2,International Journal of Automotive Technology and Management,1470-9511,https://www.inderscience.com/jhome.php?jcode=ijatm
9ae28195-6a3d-4e87-ad08-a1781e39e90e,AGROISTA : Journal Agrotechnology,2597-3835,
e2dbc662-4a2c-4d9b-882d-1676b49886e5,Vergaberecht,1617-1063,
7364adc1-c3c5-4537-9976-f86fba72ba96,Bochum Philosophical Yearbook on the Antiquity and Middle Ages,1384-6663,https://benjamins.com/catalog/bpjam
73d2fbe2-716a-484b-8802-782ad3b93756,Chemie der Erde,0009-2819,https://www.journals.elsevier.com/chemie-der-erde
afd38f2a-bed5-45a3-8ce2-e9e216a767a0,Stroke: Vascular and Interventional Neurology,2694-5746,
86ddeda2-9854-4542-9ddd-b999f468574d,Brunei Darussalam journal of health,1994-6694,
49787d0c-735c-4fdf-a643-0014c19e11b0,International journal of physical sciences,2415-0355,http://www.academicjournals.org/ijps
248d42b6-c4fe-4ce6-be37-6f8d55dee13f,Desert plants,,
55e3dd46-16da-4804-8a84-6054a9b51b07,Известия Кыргызского государственного технического университета им. И. Раззакова,1694-5557,
c06a00c7-585e-457a-9502-cb14bacb4ed6,Acta Histochemica et Cytochemica,0044-5991,https://www.jstage.jst.go.jp/browse/ahc/
bda79572-9b3a-4cb5-b67e-dc00d0a8d50e,Genetics Research International,2090-3162,https://www.hindawi.com/journals/gri/
f2ce98a8-7be7-4a22-9810-7517b7f7fb91,ECONOMIC VECTOR,2411-7269,
80cadaf0-a853-437a-9ea8-c085b6f807ab,Indian Agriculturist,0019-4336,
564f36ab-1920-40b8-b62c-92aa6b95b3e9,Journal of open source medical computing,1534-0252,
2139e325-adac-459b-9157-6f87efc00f5b,Journal of Geography Politics and Society,2084-0497,https://www.ceeol.com/search/journal-detail?id=1645
dc92a940-7061-4465-82af-5e703f42c5a9,IAQ-Forschung,2366-0627,
439fedf7-9410-4370-8d4b-5800e234d4e1,IJMRS's international journal of mathematical modeling and physical sciences,2320-9992,http://www.ijmrs.com/
b34355c1-9f81-4033-879f-2f0b1866c6dc,Annals of Neonatology Journal,2636-3569,
551fbf1b-8568-4c20-89fc-b50ac51c4407,Périnatalité,2678-6524,
00ffa917-f7d8-43f3-836f-f3bc8431e615,Bells University Journal of Applied Sciences and Environment,2645-2383,
c3ace5b5-4e19-4905-b010-3de711a9aaeb,IATSS Research,0386-1112,https://www.journals.elsevier.com/iatss-research/
2584b70e-3869-4319-a032-be1c7870aa40,Journal of Korean Academy of Nursing,2005-3673,https://www.jkan.or.kr/
37f1b09a-a6af-4878-9836-fef05322a84a,Brain Communications,2632-1297,
b4aa912a-2562-427b-95f8-26d3f5102283,Journal of Northwest A & F University,,
5266a4d5-355d-4998-bf57-ae876cd6a6fe,Journal of balkan and black sea studies,2667-470X,https://dergipark.org.tr/tr/pub/balkar
0777b4d8-4819-4a02-b471-3b757b56bec3,Journal of Hong Kong Library Association,0073-3237,https://hkjo.lib.hku.hk/exhibits/show/hkjo/browseIssue?book=b48301589
142ceb07-756b-4bee-b67a-7c92791cf231,International journal of agriculture and biosciences,2305-6622,http://www.ijagbio.com/
